x,y,z,coerencia_local,spin_vetorial,entropia_POS,harmonico_dominante
-250.91976230527507,-896.6365576627846,-662.1298738556709,0.7624,↑,2.168,4
901.4286128198323,62.70926313629593,-442.8193219360827,0.708,↺,1.447,1
463.98788362281016,81.27024322021293,-645.9790314465064,0.7544,↻,1.097,2
197.31696839407323,274.859802996413,-822.5949324858888,0.8749,↑,1.813,5
-687.9627191151269,452.1826674453232,-758.7282577987984,0.8264,↻,1.217,2
-688.0109593275947,951.7041589250691,-78.44246393454841,0.9678,↑,2.184,1
-883.8327756636011,32.6006966023906,-587.332563188415,0.9452,↓,2.252,5
732.3522915498704,-354.08705411750805,-271.46027790384903,0.8025,↻,1.054,2
202.23002348641762,590.3723895374073,6.83454170971379,0.7778,↻,0.692,3
416.145155592091,-458.3354974758515,380.7896572587306,0.8139,↺,1.481,1
-958.831011408395,-122.05715858872782,-921.3757203178021,0.8771,↻,2.281,1
939.8197043239886,-843.0872373154681,598.8207978180853,0.7804,↻,0.527,1
664.8852816008434,-949.298513169085,255.80077898181548,0.8872,↓,1.557,3
-575.3217786434477,925.2968293558502,-836.4819361022562,0.8228,↻,1.579,3
-636.3500655857988,671.9602410244117,747.1572482135543,0.8656,↓,1.833,4
-633.1909802931324,391.9484121873959,841.7448010636263,0.8308,↓,0.329,2
-391.5155140809245,-182.0941111714602,-877.8440802902725,0.7883,↓,1.79,4
49.512863264475754,-653.4113598583085,-446.24470370559254,0.9845,↓,2.273,2
-136.10996271576846,-687.1259146578279,612.4025595861226,0.9291,↑,0.449,3
-417.54171960391614,-499.51420367080937,496.51938076731676,0.742,↺,0.594,3
223.70578944475892,98.45332941224092,-630.9579612872453,0.9605,↑,2.428,4
-721.0122786959164,429.19184540012475,-581.3013533265794,0.8462,↻,0.452,5
-415.7107029295637,320.39475343546246,-259.05579441723603,0.9684,↑,2.136,4
-267.27631341261656,-440.13220610811436,-30.954029617957303,0.94,↑,1.231,2
-87.86003156592813,909.7305613263882,236.50954306059202,0.8276,↻,0.618,4
570.3519227860272,475.79383339153696,-262.17272086045523,0.7067,↻,2.177,1
-600.6524356832806,108.70810502280142,-74.93056773370427,0.7806,↻,1.113,2
28.468876827223312,223.44149246870438,494.9418762675132,0.8625,↑,1.287,2
184.82913772408483,-160.79987514442018,-926.6335942188042,0.89,↑,0.898,5
-907.0991745600046,-504.53802099768507,-495.1261113119585,0.7774,↻,1.482,3
215.08970380287678,-288.0546426974769,426.69917176910485,0.7418,↺,0.409,2
-658.9517526254169,515.6922209287382,790.4136753743987,0.9505,↺,0.978,3
-869.896814029441,-971.2130227404882,23.35488423133222,0.9953,↓,2.424,4
897.7710745066665,-767.8547189861675,64.2269705306312,0.8577,↻,0.645,1
931.2640661491187,-907.9947159564945,-785.6559773204478,0.7515,↓,1.642,5
616.7946962329222,-918.5423953620598,-105.1752663530907,0.7817,↺,0.813,3
-390.7724616532586,710.9211680220144,65.23453291004625,0.7055,↓,1.934,2
-804.6557719872322,407.3157187600473,-515.0589927305407,0.9743,↻,0.327,3
368.46605302431385,-51.652341825349595,-461.51353810123805,0.7353,↻,2.425,2
-119.69501252079738,-804.3316786979971,-245.43167379075476,0.873,↻,1.134,3
-755.9235303104424,-16.768249766335316,-959.8576044445473,0.7822,↑,0.59,2
-9.646179777459679,-53.05645843886862,-355.84166883364344,0.8663,↓,0.184,4
-931.2229577695632,-653.5962601799697,-577.1039860069106,0.8954,↺,0.424,2
818.6408041575642,-132.2967015240539,-345.0052956441707,0.9489,↺,1.299,2
-482.44003679996615,-202.9905312052531,-760.4757363614976,0.7619,↺,0.843,1
325.0445687079639,231.70019610443296,781.05456147979,0.7033,↑,2.072,2
-376.5778478211781,270.1873017352875,187.18490710809738,0.7411,↑,1.077,1
40.13604235562161,-909.3919804559109,358.20463828897914,0.97,↻,0.622,5
93.42055868655939,-250.77477074705757,578.3424772146766,0.9622,↺,1.543,1
-630.2910889489459,251.71983142847284,-3.1156021418854607,0.8792,↑,1.767,4
939.1692555291172,6.2725171601754255,-826.1594238251527,0.8802,↻,0.418,1
550.2656467222291,712.9796823766446,74.21308363709545,0.8995,↺,0.419,5
878.9978831283781,317.38726323789,173.6822360417582,0.7526,↓,0.092,4
789.6547008552977,-674.1311458371406,490.8789483686601,0.9743,↻,1.841,3
195.79995762217027,-858.8625051991403,-136.68090754064121,0.8256,↑,1.66,3
843.7484700462337,284.8385564126313,-744.8393944088725,0.8149,↑,1.187,1
-823.014995896161,-946.9773789167564,-432.44818840255107,0.8557,↻,2.11,1
-608.0342751617096,171.55116254692666,-273.8354072027298,0.7141,↻,2.014,5
-909.5454221789239,880.4604828499153,291.8344826632024,0.7499,↑,1.463,5
-349.33933847347134,150.94835575175784,141.55660933782383,0.9214,↓,2.171,2
-222.645420621036,-223.6601475869562,-287.80654820430755,0.7248,↺,0.515,5
-457.3019364522082,286.57643688470625,973.0304975859594,0.8809,↓,0.28,2
657.4750183038586,-83.49421901696678,211.54963871377436,0.7736,↻,0.674,4
-286.4933466128215,91.23357863186993,-525.546416528011,0.8168,↓,0.143,1
-438.1309806252385,882.9296175530503,-796.4350547591926,0.7866,↑,1.328,4
85.39216631649697,-227.79472439845154,-694.2817216313359,0.8067,↻,2.342,5
-718.1515500504747,922.3811276478284,-508.08454323098374,0.9157,↺,0.098,4
604.3939615080794,810.7012839121276,-678.6372534808886,0.7891,↑,0.305,4
-850.8987126404584,-608.4177304214071,-626.8659518973884,0.8699,↑,1.13,4
973.7738732010346,-861.2773982496691,-429.80966261230583,0.8428,↺,2.335,5
544.4895385933148,-798.4439972451466,-653.2528094104903,0.8991,↺,0.79,4
-602.5686369316552,-963.5563486969005,793.5308492528504,0.981,↓,1.268,2
-988.9557657527952,-811.1140784881432,-839.5325086767156,0.9198,↻,0.104,5
630.9228569096683,366.0135468327137,49.02277914050933,0.7645,↺,0.371,4
413.71468769523426,-857.622703079542,-179.20634602067696,0.7094,↺,2.467,5
458.01433608197453,-362.0487394124774,964.7572338172129,0.7787,↻,2.413,3
542.5406933718914,689.750621938909,-775.9221956638953,0.8785,↺,0.012,2
-851.9106965318192,-953.4561285283482,-204.2888019085167,0.7154,↺,2.38,4
-283.06854291145476,628.9369651778716,938.9408665507376,0.8489,↓,1.598,3
-768.2618809497405,-436.29045045320015,731.0142517879606,0.8791,↑,2.17,3
726.2068517511871,-763.6703447566874,634.1441418985598,0.8003,↑,1.137,5
246.5962536551158,393.4743307283013,-484.1943459101203,0.9313,↑,1.289,3
-338.2039502947016,257.885693559768,-658.2248252198683,0.732,↑,1.222,2
-872.8832994279527,754.9440270541058,337.2864398488621,0.7225,↺,1.667,2
